FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,MEM1,MEM2
102.736032,63.262031,33.704264,39.460873,12.993817,9.591827,58.04622,100.719362,34.039264,4.803997
383.291553,322.809337,25.727973,116.308932,3.155882,3.294474,171.017407,404.450163,49.552133,5.237966
983.46654,746.070994,130.684811,93.290059,7.211895,12.33819,285.051978,589.503321,59.287842,5.565761
411.018694,296.630114,20.623788,53.150248,7.99028,4.537525,242.70854,164.113145,42.001887,7.017597
474.278057,410.31024,39.783623,127.545582,6.470839,5.676792,116.720221,326.308991,110.931607,8.553167
615.389916,530.695221,80.399706,147.957544,21.83364,10.518272,186.825026,553.764731,141.580347,11.781493
333.919449,240.395939,5.882587,146.989638,6.669563,4.972913,53.496732,269.803833,81.181334,5.307115
468.414833,249.219728,16.943963,29.573305,2.797238,3.381533,6.675974,141.812656,26.895002,3.581163
177.579792,103.947498,6.794262,21.018785,2.126423,1.785217,6.523075,58.946199,8.085552,2.040574
621.10814,720.597822,59.382187,81.8101,7.80926,27.445382,278.494963,546.683427,82.240227,7.587277
366.067594,119.928097,10.754884,10.902842,3.03449,2.983725,4.984589,363.690756,6.744277,4.747318
310.701651,154.369568,21.337953,19.723851,3.541923,3.599152,22.336165,144.732412,17.879744,2.942315
26.530095,4.77544,2.208767,2.254629,1.526028,1.510983,1.747647,23.994623,2.123015,1.890589
465.719675,414.418717,48.716018,185.786595,5.604622,4.086149,142.917818,326.517501,226.74351,6.706582
250.347545,290.207067,7.43486,87.21525,3.036175,12.922053,84.892436,356.52568,159.638847,5.905702
777.504795,821.745844,161.499869,496.989112,4.035628,4.025386,466.080479,710.377754,419.663777,5.270796
362.656463,292.877954,70.25341,113.606748,10.864503,5.66093,42.044755,229.515776,26.062935,5.402403
936.081767,924.681731,387.540528,712.792584,77.146168,163.731974,533.905653,778.656456,727.174924,48.039695
607.952807,604.312485,91.981428,125.112499,5.024557,22.627071,199.693311,315.694662,91.859605,36.326804
1315.11517,1291.523178,137.864194,52.187363,5.37132,8.263545,72.643093,874.433078,129.542347,6.478181
360.130537,272.750167,19.465376,107.992997,7.094953,9.675254,27.822177,241.016212,53.05623,5.159451
714.593227,666.218405,33.70516,40.741092,5.581133,4.823968,83.803322,594.078253,45.843086,4.77062
