NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5
100.719362,94.450825,94.694096,88.985575,49.328946
404.450163,346.083704,416.710691,428.978731,198.705578
589.503321,535.590608,542.042988,478.155863,319.081381
164.113145,234.034705,200.224954,148.252288,39.316987
326.308991,377.206623,414.154054,450.599427,197.96061
553.764731,482.508152,413.901334,430.339178,308.654244
269.803833,238.511018,260.07582,246.049969,99.571111
141.812656,164.728613,152.006046,187.434929,159.497981
58.946199,61.234637,64.382632,63.636038,7.265437
546.683427,420.614206,912.678474,487.639189,282.452099
363.690756,354.479105,488.063296,196.092434,97.584136
144.732412,148.842948,154.039321,128.103823,47.170132
23.994623,23.843836,23.925948,28.385057,2.54988
326.517501,322.96201,318.749445,266.980497,319.415398
356.52568,624.757369,337.306811,414.172478,75.790104
710.377754,562.268337,998.90812,540.971115,707.109783
229.515776,245.69115,214.452516,128.543285,128.216861
778.656456,911.973853,1100.672212,490.794605,435.984299
315.694662,354.831394,477.665903,438.121902,203.119466
874.433078,701.069587,795.755808,970.877217,615.726136
241.016212,220.67128,273.897535,212.71381,65.375553
594.078253,546.08207,639.850079,584.98213,337.48893
