FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1
102.736032,63.262031,33.704264,39.460873,12.993817,9.591827,22.622475,100.719362
383.291553,322.809337,25.727973,116.308932,3.155882,3.294474,17.060091,404.450163
983.46654,746.070994,130.684811,93.290059,7.211895,12.33819,106.316168,589.503321
411.018694,296.630114,20.623788,53.150248,7.99028,4.537525,96.078215,164.113145
474.278057,410.31024,39.783623,127.545582,6.470839,5.676792,78.802736,326.308991
615.389916,530.695221,80.399706,147.957544,21.83364,10.518272,357.399834,553.764731
333.919449,240.395939,5.882587,146.989638,6.669563,4.972913,7.7924,269.803833
468.414833,249.219728,16.943963,29.573305,2.797238,3.381533,5.002107,141.812656
177.579792,103.947498,6.794262,21.018785,2.126423,1.785217,3.641912,58.946199
621.10814,720.597822,59.382187,81.8101,7.80926,27.445382,36.289035,546.683427
366.067594,119.928097,10.754884,10.902842,3.03449,2.983725,6.18314,363.690756
310.701651,154.369568,21.337953,19.723851,3.541923,3.599152,13.815736,144.732412
26.530095,4.77544,2.208767,2.254629,1.526028,1.510983,1.798211,23.994623
465.719675,414.418717,48.716018,185.786595,5.604622,4.086149,90.037521,326.517501
250.347545,290.207067,7.43486,87.21525,3.036175,12.922053,156.162032,356.52568
777.504795,821.745844,161.499869,496.989112,4.035628,4.025386,18.894119,710.377754
362.656463,292.877954,70.25341,113.606748,10.864503,5.66093,23.183183,229.515776
936.081767,924.681731,387.540528,712.792584,77.146168,163.731974,69.722574,778.656456
607.952807,604.312485,91.981428,125.112499,5.024557,22.627071,552.452211,315.694662
1315.11517,1291.523178,137.864194,52.187363,5.37132,8.263545,1046.799808,874.433078
360.130537,272.750167,19.465376,107.992997,7.094953,9.675254,22.336177,241.016212
714.593227,666.218405,33.70516,40.741092,5.581133,4.823968,49.240266,594.078253
